time,win,loss,prim_tent,prim_gale,seg_gale,white,black,red
2022-08-30 20:06:59.435875,1,0,1,0,0,0,1,0
2022-08-30 20:09:54.223171,1,0,0,1,0,0,1,0
2022-08-30 20:11:54.306804,1,0,1,0,0,0,0,1
2022-08-30 20:13:54.879917,1,0,0,0,1,0,1,0
2022-08-30 20:15:24.473590,1,0,0,1,0,0,0,1
2022-08-30 20:16:54.623583,1,0,0,1,0,0,1,0
2022-08-30 20:18:54.692137,0,1,0,0,0,0,0,0
2022-08-30 20:20:24.591865,1,0,0,1,0,0,0,1
2022-08-30 20:21:24.836307,1,0,1,0,0,0,1,0
2022-08-30 20:23:55.476978,0,1,0,0,0,0,0,0
2022-08-30 20:27:54.980404,1,0,1,0,0,0,1,0
2022-08-30 20:29:25.724518,1,0,0,1,0,0,0,1
2022-08-30 20:30:55.253453,1,0,1,0,0,0,0,1
2022-08-30 20:32:25.096569,1,0,0,1,0,0,1,0
2022-08-30 20:33:55.319050,1,0,0,1,0,0,0,1
2022-08-30 20:36:55.235602,1,0,0,1,0,1,1,0
2022-08-30 20:38:48.115865,1,0,1,0,0,1,1,0
2022-08-30 20:41:07.843479,1,0,0,0,1,0,1,0
2022-08-30 20:42:38.555869,1,0,1,0,0,0,1,0
2022-08-30 20:43:38.542513,1,0,1,0,0,0,0,1
2022-08-30 20:45:08.717031,1,0,1,0,0,0,0,1
2022-08-30 20:50:47.350636,1,0,0,1,0,0,0,1
2022-08-30 20:51:53.406158,1,0,1,0,0,0,1,0
2022-08-30 20:54:58.989969,1,0,1,0,0,0,0,1
2022-08-30 20:55:59.126016,1,0,1,0,0,0,1,0
2022-08-30 20:56:59.137292,1,0,1,0,0,0,0,1
2022-08-30 20:58:32.469298,1,0,0,1,0,0,1,0
2022-08-30 21:00:32.047679,1,0,1,0,0,0,0,1
2022-08-30 21:02:01.800082,1,0,0,1,0,0,1,0
2022-08-30 21:03:01.832334,1,0,1,0,0,0,0,1
2022-08-30 21:05:01.922800,1,0,1,0,0,0,1,0
2022-08-30 21:06:01.797622,1,0,1,0,0,0,0,1
2022-08-30 21:09:02.115861,1,0,0,0,1,0,1,0
2022-08-30 21:10:02.100344,1,0,1,0,0,1,1,0
2022-08-30 21:13:02.262650,1,0,0,0,1,0,1,0
2022-08-30 21:14:02.207983,1,0,1,0,0,0,0,1
2022-08-30 21:37:03.138123,1,0,1,0,0,0,0,1
2022-08-30 21:39:03.084162,1,0,0,0,1,0,1,0
2022-08-30 21:40:34.013260,1,0,1,0,0,0,1,0
2022-08-30 21:45:03.378113,0,1,0,0,0,0,0,0
2022-08-30 21:49:03.485094,1,0,0,1,0,0,0,1
2022-08-30 21:52:33.667997,1,0,0,1,0,1,1,0
2022-08-30 21:55:03.700666,1,0,0,1,0,0,0,1
2022-08-30 21:56:35.283746,1,0,1,0,0,0,0,1
2022-08-30 21:57:33.889478,1,0,1,0,0,0,1,0
2022-08-30 22:09:39.869909,1,0,0,1,0,0,0,1
2022-08-30 22:11:04.447167,1,0,0,1,0,1,1,0
2022-08-30 22:13:04.592560,1,0,0,1,0,0,1,0
2022-08-30 22:14:34.737231,1,0,1,0,0,0,1,0
2022-08-30 22:16:34.663766,0,1,0,0,0,0,0,0
2022-08-30 22:17:34.687747,1,0,1,0,0,0,0,1
2022-08-30 22:18:34.762960,1,0,1,0,0,1,1,0
2022-08-30 22:21:35.374359,1,0,1,0,0,0,1,0
2022-08-30 22:23:04.859163,1,0,1,0,0,0,1,0
2022-08-30 22:25:34.997097,1,0,0,0,1,1,1,0
2022-08-30 22:28:05.113290,1,0,1,0,0,0,1,0
2022-08-30 22:29:35.144875,1,0,1,0,0,0,1,0
2022-08-30 22:30:36.016373,1,0,1,0,0,0,0,1
2022-08-30 22:31:35.553357,1,0,1,0,0,0,1,0
2022-08-30 22:32:35.774689,1,0,1,0,0,0,0,1
2022-08-30 22:34:35.232141,1,0,0,0,1,0,1,0
2022-08-30 22:35:35.441797,1,0,1,0,0,1,1,0
2022-08-30 22:38:05.385560,1,0,0,0,1,0,1,0
2022-08-30 22:40:35.433846,1,0,1,0,0,0,1,0
2022-08-30 22:42:05.503282,1,0,1,0,0,0,1,0
2022-08-30 22:44:05.753689,1,0,0,0,1,0,0,1
2022-08-30 22:45:35.754308,1,0,0,1,0,0,1,0
2022-08-30 22:47:05.739109,1,0,0,1,0,0,0,1
2022-08-30 22:49:05.778386,1,0,1,0,0,0,1,0
2022-08-30 22:51:36.026645,1,0,0,0,1,0,1,0
2022-08-30 22:54:36.130376,1,0,0,1,0,0,1,0
2022-08-30 22:56:06.232556,1,0,1,0,0,0,1,0
2022-08-30 22:58:06.124144,1,0,0,0,1,0,0,1
2022-08-30 23:01:36.642064,1,0,1,0,0,0,0,1
2022-08-30 23:03:42.743047,1,0,1,0,0,0,1,0
2022-08-30 23:07:06.498717,0,1,0,0,0,0,0,0
2022-08-30 23:09:44.203915,0,1,0,0,0,0,0,0
2022-08-30 23:10:36.662341,1,0,1,0,0,1,1,0
2022-08-30 23:12:06.884284,1,0,1,0,0,0,0,1
2022-08-30 23:14:07.412326,1,0,1,0,0,0,0,1
2022-08-30 23:16:36.868035,1,0,0,1,0,0,1,0
2022-08-30 23:19:36.944789,1,0,0,0,1,0,0,1
2022-08-30 23:21:37.077396,1,0,0,0,1,0,1,0
2022-08-30 23:24:07.545095,1,0,0,1,0,0,0,1
2022-08-30 23:26:37.194784,0,1,0,0,0,0,0,0
2022-08-30 23:30:07.538645,1,0,0,1,0,1,1,0
2022-08-30 23:32:37.512169,1,0,0,1,0,0,1,0
2022-08-30 23:35:07.714488,1,0,1,0,0,0,1,0
2022-08-30 23:36:37.632615,1,0,0,1,0,0,0,1
2022-08-30 23:39:37.790043,1,0,0,0,1,0,1,0
2022-08-30 23:41:37.845089,1,0,0,1,0,0,1,0
2022-08-30 23:43:07.847135,1,0,1,0,0,0,1,0
2022-08-30 23:44:38.087261,1,0,0,1,0,0,0,1
2022-08-30 23:45:38.141787,1,0,1,0,0,0,1,0
2022-08-30 23:49:19.743153,1,0,0,1,0,0,0,1
2022-08-30 23:52:38.410844,0,1,0,0,0,0,0,0
2022-08-30 23:53:38.389604,1,0,1,0,0,0,0,1
2022-08-30 23:55:38.646031,1,0,0,1,0,0,0,1
2022-08-30 23:57:08.735338,1,0,0,1,0,0,1,0
2022-08-31 00:00:39.421835,0,1,0,0,0,0,0,0
2022-08-31 00:02:38.959111,1,0,1,0,0,0,1,0
2022-08-31 00:09:39.193643,1,0,1,0,0,0,1,0
2022-08-31 00:11:09.392159,1,0,1,0,0,0,1,0
2022-08-31 00:12:09.380970,1,0,1,0,0,0,0,1
2022-08-31 00:13:39.391230,1,0,0,1,0,0,1,0
2022-08-31 00:15:09.578687,1,0,0,1,0,0,0,1
2022-08-31 00:17:14.675784,1,0,1,0,0,0,1,0
2022-08-31 00:22:09.689039,1,0,1,0,0,0,0,1
2022-08-31 00:24:39.752966,1,0,0,1,0,0,1,0
2022-09-02 19:01:54.280794,1,0,0,1,0,0,0,1
2022-09-02 19:03:24.212553,1,0,0,1,0,0,1,0
2022-09-02 19:04:38.079289,1,0,1,0,0,0,0,1
2022-09-02 19:05:30.447782,1,0,1,0,0,0,1,0
2022-09-02 19:07:30.476148,0,1,0,0,0,0,0,0
2022-09-02 19:08:36.085576,1,0,1,0,0,0,0,1
2022-09-02 19:09:30.603965,1,0,1,0,0,0,1,0
2022-09-02 19:11:29.346479,1,0,0,1,0,0,1,0
2022-09-02 19:12:58.995175,1,0,1,0,0,0,1,0
2022-09-02 19:14:59.168921,1,0,0,0,1,0,0,1
2022-09-02 19:16:59.295973,1,0,1,0,0,0,1,0
2022-09-02 19:18:29.254582,1,0,0,1,0,0,0,1
2022-09-02 19:19:29.131041,1,0,1,0,0,0,1,0
2022-09-02 19:20:29.558319,1,0,1,0,0,0,0,1
2022-09-02 19:22:29.807119,1,0,0,1,0,0,0,1
2022-09-02 19:23:29.646923,1,0,1,0,0,0,1,0
2022-09-02 19:24:59.725282,1,0,0,1,0,0,0,1
2022-09-02 19:25:59.836101,1,0,1,0,0,0,1,0
2022-09-02 19:26:59.925593,1,0,1,0,0,0,0,1
2022-09-02 19:29:30.076246,1,0,1,0,0,0,0,1
2022-09-02 19:33:30.605188,1,0,1,0,0,0,0,1
2022-09-02 19:36:13.859472,1,0,1,0,0,0,1,0
2022-09-02 19:37:00.318997,1,0,1,0,0,0,0,1
2022-09-02 19:38:30.219799,1,0,1,0,0,0,0,1
2022-09-02 19:42:30.716585,1,0,1,0,0,0,1,0
2022-09-02 19:44:30.618854,1,0,0,1,0,0,1,0
2022-09-02 19:45:36.714085,1,0,1,0,0,1,1,0
2022-09-02 19:48:00.728019,0,1,0,0,0,0,0,0
2022-09-02 19:49:30.957841,1,0,0,1,0,0,1,0
2022-09-02 19:52:00.995129,1,0,1,0,0,1,1,0
2022-09-02 19:55:30.986670,0,1,0,0,0,0,0,0
2022-09-02 19:57:31.117631,1,0,1,0,0,0,0,1
2022-09-02 19:59:01.277985,1,0,1,0,0,0,0,1
2022-09-02 20:01:08.169065,1,0,0,0,1,0,1,0
2022-09-02 20:02:01.250326,1,0,1,0,0,1,1,0
2022-09-02 20:03:01.341115,1,0,1,0,0,0,1,0
2022-09-02 20:04:32.038530,1,0,0,1,0,0,0,1
2022-09-02 20:07:01.627609,1,0,0,0,1,0,0,1
2022-09-02 20:08:31.649807,1,0,0,1,0,0,1,0
2022-09-02 20:10:31.651065,1,0,1,0,0,0,0,1
2022-09-02 20:13:32.117598,1,0,0,1,0,1,1,0
2022-09-02 20:15:32.301392,1,0,1,0,0,0,0,1
2022-09-02 20:16:32.334146,1,0,1,0,0,0,1,0
2022-09-02 20:17:32.461062,1,0,1,0,0,0,0,1
2022-09-02 20:20:32.482618,1,0,0,0,1,0,1,0
2022-09-02 20:22:32.506376,1,0,0,0,1,0,0,1
2022-09-02 20:26:47.066347,1,0,1,0,0,0,1,0
2022-09-02 20:28:58.669868,1,0,1,0,0,0,0,1
2022-09-02 20:29:44.685639,1,0,1,0,0,0,1,0
2022-09-02 20:32:33.197571,1,0,1,0,0,0,1,0
2022-09-02 20:35:00.957184,0,1,0,0,0,0,0,0
2022-09-02 20:36:03.385494,1,0,1,0,0,0,1,0
2022-09-02 20:38:10.840226,0,1,0,0,0,0,0,0
2022-09-02 21:57:28.803341,1,0,1,0,0,1,1,0
2022-09-02 21:58:58.786711,1,0,1,0,0,0,1,0
2022-09-02 21:59:58.881950,1,0,1,0,0,0,0,1
2022-09-02 22:03:58.967532,1,0,1,0,0,0,1,0
2022-09-02 22:05:29.095427,1,0,1,0,0,0,1,0
2022-09-02 22:07:29.996059,1,0,0,1,0,0,1,0
2022-09-02 22:08:29.789456,1,0,1,0,0,0,0,1
2022-09-02 22:09:30.339142,1,0,1,0,0,0,1,0
2022-09-02 22:10:30.483359,1,0,1,0,0,0,0,1
2022-09-02 22:11:30.423886,1,0,1,0,0,1,1,0
2022-09-02 22:16:00.681385,0,1,0,0,0,0,0,0
2022-09-02 22:19:00.803034,1,0,0,1,0,0,1,0
2022-09-02 22:21:05.914367,1,0,0,1,0,0,1,0
2022-09-02 22:25:31.384869,1,0,1,0,0,1,1,0
2022-09-03 07:50:59.892413,1,0,0,0,1,0,1,0
2022-09-03 07:53:25.470798,1,0,1,0,0,0,1,0
2022-09-03 07:54:55.314913,1,0,0,1,0,0,0,1
2022-09-03 07:55:55.502683,1,0,1,0,0,1,1,0
2022-09-03 07:58:55.996651,1,0,0,1,0,1,1,0
2022-09-03 08:01:01.333483,1,0,0,1,0,0,0,1
2022-09-03 08:02:55.773327,0,1,0,0,0,0,0,0
2022-09-03 08:05:58.202562,1,0,0,0,1,0,1,0
2022-09-03 08:06:55.968900,1,0,1,0,0,0,0,1
2022-09-03 08:08:25.949019,1,0,0,1,0,0,1,0
2022-09-03 08:09:59.713868,1,0,1,0,0,0,1,0
2022-09-03 08:10:56.012253,1,0,1,0,0,1,1,0
2022-09-03 08:11:56.083902,1,0,1,0,0,0,0,1
2022-09-03 08:13:26.138787,1,0,1,0,0,0,0,1
2022-09-03 08:16:06.324162,1,0,1,0,0,0,1,0
2022-09-03 08:18:26.280064,1,0,0,1,0,0,0,1
2022-09-03 08:21:35.540739,1,0,1,0,0,0,0,1
2022-09-03 08:25:00.962944,1,0,0,0,1,0,0,1
2022-09-03 08:26:26.619595,1,0,1,0,0,0,0,1
2022-09-03 08:27:56.733482,1,0,0,1,0,0,1,0
2022-09-03 08:29:26.694788,1,0,0,1,0,0,0,1
2022-09-03 08:30:26.840714,1,0,1,0,0,1,1,0
2022-09-03 08:32:26.867593,1,0,1,0,0,0,1,0
2022-09-03 08:33:26.889336,1,0,1,0,0,0,0,1
2022-09-03 08:35:57.042513,1,0,1,0,0,0,0,1
2022-09-03 08:37:57.124719,1,0,0,1,0,0,0,1
2022-09-03 08:40:07.764862,0,1,0,0,0,0,0,0
2022-09-03 08:42:28.128556,1,0,0,0,1,0,0,1
2022-09-03 08:43:58.328277,1,0,0,1,0,0,1,0
2022-09-03 08:48:58.485356,1,0,0,0,1,0,0,1
2022-09-03 08:49:58.409394,1,0,1,0,0,0,1,0
2022-09-03 08:52:28.655765,1,0,1,0,0,0,1,0
2022-09-03 08:53:58.709950,1,0,1,0,0,0,1,0
2022-09-03 08:54:58.641100,1,0,1,0,0,0,0,1
2022-09-03 08:56:28.840999,1,0,1,0,0,0,0,1
2022-09-03 08:57:29.391964,1,0,1,0,0,0,1,0
2022-09-03 09:00:03.897310,1,0,0,1,0,0,0,1
2022-09-03 09:00:58.922316,1,0,1,0,0,0,1,0
2022-09-03 09:01:59.044807,1,0,1,0,0,0,0,1
2022-09-03 09:05:59.096083,1,0,0,0,1,0,1,0
2022-09-03 09:07:38.630616,1,0,1,0,0,0,1,0
2022-09-03 09:08:59.250040,1,0,0,1,0,0,0,1
2022-09-03 09:10:29.161638,1,0,0,1,0,0,1,0
2022-09-03 09:11:59.438894,1,0,1,0,0,0,1,0
2022-09-03 09:13:29.423226,1,0,1,0,0,0,1,0
2022-09-03 09:15:59.421057,1,0,0,0,1,0,1,0
2022-09-03 09:17:59.468215,1,0,0,0,1,0,0,1
2022-09-03 09:19:02.052968,1,0,1,0,0,0,1,0
2022-09-03 09:23:59.783586,1,0,1,0,0,1,1,0
2022-09-03 09:26:29.923438,1,0,1,0,0,0,1,0
2022-09-03 09:28:00.008950,1,0,1,0,0,0,1,0
2022-09-03 09:30:00.049829,1,0,1,0,0,0,0,1
2022-09-03 09:31:29.996084,1,0,1,0,0,1,1,0
2022-09-03 09:37:02.158190,1,0,0,1,0,0,1,0
2022-09-03 09:41:11.561820,1,0,0,0,1,0,0,1
2022-09-03 09:43:00.573822,1,0,0,0,1,0,1,0
2022-09-03 09:44:30.528232,1,0,0,1,0,0,0,1
2022-09-03 09:47:30.737498,1,0,1,0,0,0,0,1
2022-09-03 09:48:36.871926,1,0,1,0,0,0,1,0
2022-09-03 09:52:31.024693,1,0,0,1,0,0,1,0
2022-09-03 09:55:31.070439,0,1,0,0,0,0,0,0
2022-09-03 09:57:39.375710,1,0,0,0,1,1,1,0
2022-09-03 10:00:01.165178,1,0,1,0,0,0,0,1
2022-09-03 10:02:10.509288,1,0,0,1,0,0,0,1
2022-09-03 10:04:09.258425,1,0,0,1,0,1,1,0
2022-09-03 10:06:09.100897,1,0,1,0,0,0,0,1
2022-09-03 10:08:09.293534,1,0,0,0,1,0,1,0
2022-09-03 10:10:39.561400,1,0,0,1,0,0,0,1
2022-09-03 10:12:09.505238,1,0,0,1,0,1,1,0
2022-09-03 10:13:09.669119,1,0,1,0,0,0,1,0
2022-09-03 10:14:40.073303,1,0,0,1,0,0,0,1
2022-09-03 10:17:09.643563,1,0,0,1,0,0,1,0
2022-09-03 10:21:40.083302,1,0,1,0,0,0,1,0
2022-09-03 10:22:43.197084,1,0,1,0,0,0,0,1
2022-09-03 10:26:40.240707,1,0,0,1,0,0,0,1
2022-09-03 10:28:10.338256,1,0,1,0,0,0,0,1
2022-09-03 10:30:10.437124,0,1,0,0,0,0,0,0
2022-09-03 10:31:42.514708,1,0,1,0,0,0,0,1
2022-09-03 10:33:40.425064,1,0,0,1,0,0,0,1
2022-09-03 10:36:10.526564,1,0,0,1,0,0,1,0
2022-09-03 10:38:11.639724,1,0,0,1,0,0,1,0
2022-09-03 10:39:40.919953,1,0,0,1,0,0,0,1
2022-09-03 10:45:29.012837,0,1,0,0,0,0,0,0
2022-09-03 11:05:41.907728,0,1,0,0,0,0,0,0
2022-09-03 11:06:42.090584,1,0,1,0,0,1,1,0
2022-09-03 11:09:12.233020,1,0,1,0,0,0,0,1
2022-09-03 11:10:12.910649,1,0,1,0,0,0,1,0
2022-09-03 11:12:46.189973,1,0,1,0,0,0,0,1
2022-09-03 11:16:42.390970,1,0,0,0,1,0,0,1
2022-09-03 11:18:12.515977,1,0,0,1,0,1,1,0
2022-09-03 11:20:46.310771,1,0,0,1,0,0,0,1
2022-09-03 11:21:42.573521,1,0,1,0,0,0,1,0
2022-09-03 11:24:12.776371,1,0,0,1,0,0,1,0
2022-09-03 11:26:12.805545,1,0,1,0,0,0,0,1
2022-09-03 11:27:13.056496,1,0,1,0,0,0,1,0
2022-09-03 11:28:12.974595,1,0,1,0,0,0,0,1
2022-09-03 11:31:13.082392,1,0,0,1,0,0,1,0
2022-09-03 11:33:13.951190,1,0,1,0,0,0,0,1
2022-09-03 11:34:43.301326,1,0,0,1,0,0,1,0
2022-09-03 11:36:13.836308,1,0,0,1,0,0,0,1
2022-09-03 11:37:54.582827,1,0,0,1,0,0,1,0
2022-09-03 11:39:13.532237,1,0,1,0,0,0,1,0
2022-09-03 11:40:13.649116,1,0,1,0,0,0,0,1
2022-09-03 11:44:13.753002,1,0,1,0,0,0,1,0
2022-09-03 11:45:55.329782,1,0,0,1,0,0,0,1
2022-09-03 11:47:43.948462,1,0,0,0,1,1,1,0
2022-09-03 11:50:44.022615,1,0,0,0,1,0,0,1
2022-09-03 11:51:47.599139,1,0,1,0,0,0,1,0
2022-09-03 11:53:14.040615,1,0,1,0,0,0,1,0
2022-09-03 11:54:44.221153,1,0,1,0,0,0,1,0
2022-09-03 11:56:14.587390,1,0,0,1,0,0,0,1
2022-09-03 11:58:14.257605,1,0,0,0,1,0,1,0
2022-09-03 12:00:14.475432,1,0,0,1,0,1,1,0
2022-09-03 12:03:15.778110,1,0,1,0,0,1,1,0
2022-09-03 12:06:55.213323,1,0,1,0,0,0,0,1
2022-09-03 12:08:14.817272,1,0,0,1,0,0,1,0
2022-09-03 12:09:44.963109,1,0,1,0,0,0,1,0
2022-09-03 12:10:45.086570,1,0,1,0,0,0,0,1
2022-09-03 12:12:44.968769,1,0,1,0,0,0,1,0
2022-09-03 12:17:15.343512,0,1,0,0,0,0,0,0
2022-09-03 12:18:15.360765,1,0,1,0,0,0,1,0
2022-09-03 12:20:18.218167,0,1,0,0,0,0,0,0
2022-09-03 12:21:15.474199,1,0,1,0,0,0,0,1
2022-09-03 12:22:15.571275,1,0,1,0,0,1,1,0
2022-09-03 12:24:45.612878,1,0,0,0,1,0,1,0
2022-09-03 12:26:45.570124,1,0,0,0,1,0,0,1
2022-09-03 12:29:45.760402,1,0,0,1,0,0,0,1
2022-09-03 12:31:16.034523,1,0,0,1,0,0,1,0
2022-09-03 12:32:45.864047,1,0,1,0,0,0,1,0
2022-09-03 12:33:45.995135,1,0,1,0,0,0,0,1
2022-09-03 12:34:46.126424,1,0,1,0,0,0,1,0
2022-09-03 12:36:46.208487,1,0,1,0,0,1,1,0
2022-09-03 12:38:16.282767,1,0,1,0,0,0,0,1
2022-09-03 12:39:21.715872,1,0,1,0,0,0,1,0
2022-09-03 12:43:27.710297,1,0,0,1,0,0,1,0
2022-09-03 12:46:42.700373,1,0,0,0,1,0,0,1
2022-09-03 12:48:12.885727,1,0,1,0,0,0,1,0
2022-09-03 12:49:42.985593,1,0,1,0,0,0,1,0
2022-09-03 12:55:15.358997,1,0,0,1,0,0,1,0
2022-09-03 12:56:46.411316,1,0,1,0,0,0,1,0
2022-09-03 12:58:32.470807,1,0,0,1,0,1,1,0
2022-09-03 13:00:17.730488,1,0,1,0,0,0,0,1
